Date,Pack,AP/Creds,Notes,Uncommon,Rare Mod,Rare Weap.,Rare Char.,UR Weap.,UR Char.,UR Booster,Ultra Rares
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,0,1,0,1,0,Angara Exemplar
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,0,1,1,0,0,0,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,0,2,0,0,0,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,1,0,1,0,0,1,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,1,0,1,0,0,1,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,0,1,1,0,0,P.A.W.
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,1,0,0,0,1,0,Krogan Gladiator
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,1,0,1,0,0,0,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,1,1,0,0,0,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,1,0,1,0,0,0,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,1,0,1,0,0,0,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,1,0,1,0,0,1,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,0,2,0,0,0,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,0,0,2,0,0,1,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,1,0,1,0,0,1,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,1,0,1,0,0,0,
