Date,Pack,Price,Common (C/W),Uncommon (C/W),Rare Mod,Rare Weap.,Rare Char.,UR Weap.,UR Char.,1 Level booster,2 Level booster,3 Level booster,4 Level booster,N. Consumbales
6-Jul-17,Basic,5000,1,0,0,0,0,0,0,0,1,0,0,3
6-Jul-17,Basic,5000,2,0,0,0,0,0,0,1,0,0,0,2
6-Jul-17,Advanced,20000,0,1,0,0,0,0,0,1,0,0,0,3
6-Jul-17,Basic,5000,2,0,0,0,0,0,0,1,0,0,0,2
6-Jul-17,Basic,5000,1,0,0,0,0,0,0,1,0,0,0,3
6-Jul-17,Apex Elite,0,0,2,0,1,0,1,0,0,0,0,5,0
7-Jul-17,Basic,5000,1,0,0,0,0,0,0,1,0,0,0,3
7-Jul-17,Basic,5000,1,0,0,0,0,0,0,1,0,0,0,3
7-Jul-17,Basic,5000,1,0,0,0,0,0,0,1,0,0,0,3
7-Jul-17,Basic,5000,1,0,0,0,0,0,0,0,1,0,0,3
7-Jul-17,Basic,5000,1,0,0,0,0,0,0,1,0,0,0,3
7-Jul-17,Basic,5000,1,0,0,0,0,0,0,0,1,0,0,3
7-Jul-17,Basic,5000,1,1,0,0,0,0,0,1,0,0,0,2
7-Jul-17,Premium,100000,0,1,0,1,1,1,0,0,1,0,0,0
8-Jul-17,Basic,5000,1,0,0,0,0,0,0,0,1,0,0,3
8-Jul-17,Basic,5000,1,0,0,0,0,0,0,0,1,0,0,3
8-Jul-17,Basic,5000,1,1,0,0,0,0,0,1,0,0,0,2
8-Jul-17,Basic,5000,2,0,0,0,0,0,0,1,0,0,0,2
8-Jul-17,Basic,5000,1,1,0,0,0,0,0,0,1,0,0,2
9-Jul-17,Advanced,20000,1,1,0,0,0,0,0,0,1,0,0,2
9-Jul-17,Advanced,20000,1,1,0,0,0,0,0,0,1,0,0,2
9-Jul-17,Advanced,20000,2,1,0,0,0,0,0,1,0,0,0,1
9-Jul-17,Advanced,20000,1,1,0,0,0,0,0,0,0,1,0,2
9-Jul-17,Basic,5000,2,0,0,0,0,0,0,1,0,0,0,2
9-Jul-17,Basic,5000,1,0,0,0,0,0,0,1,0,0,0,3
9-Jul-17,Basic,5000,1,0,0,0,0,0,0,1,0,0,0,3
9-Jul-17,Basic,5000,1,1,0,0,0,0,0,1,0,0,0,2
18-Jul-17,Jumbo Supply,10000,0,0,0,0,0,0,0,5,0,0,0,20
18-Jul-17,Advanced,20000,1,0,0,1,0,0,0,0,1,0,0,2
18-Jul-17,Reserves,100000,0,0,0,0,2,0,0,0,1,0,1,1
19-Jul-17,Jumbo Supply,10000,0,0,0,0,0,0,0,5,0,0,0,20
19-Jul-17,Jumbo Supply,10000,0,0,0,0,0,0,0,5,0,0,0,20
19-Jul-17,Advanced,20000,1,0,0,1,0,0,0,0,1,0,0,2
19-Jul-17,Reserves,100000,0,1,0,0,2,0,0,0,0,0,1,1
20-Jul-17,Reserves,100000,1,0,0,1,1,0,0,0,1,0,0,1
20-Jul-17,Apex Elite,0,2,0,0,0,1,1,0,0,0,0,4,0
21-Jul-17,Advanced,20000,1,1,0,0,0,0,0,0,1,0,0,2
21-Jul-17,Advanced,20000,1,1,0,0,0,0,0,1,0,1,0,1
21-Jul-17,Advanced,20000,1,1,0,0,0,0,0,0,1,1,0,1
21-Jul-17,Advanced,20000,2,1,0,0,0,0,0,0,1,0,0,1
21-Jul-17,Advanced,20000,1,0,0,0,1,0,0,0,1,0,0,2
21-Jul-17,Basic,5000,1,0,0,0,0,0,0,0,1,0,0,3
21-Jul-17,Basic,5000,1,0,0,0,0,0,0,2,0,0,0,2
21-Jul-17,Advanced,20000,0,2,0,0,0,0,0,0,1,0,0,2
21-Jul-17,Advanced,20000,2,1,0,0,0,0,0,1,0,0,0,1
21-Jul-17,Basic,5000,1,0,0,0,0,0,0,1,0,0,0,3
21-Jul-17,Basic,5000,1,0,0,0,0,0,0,2,0,0,0,2
21-Jul-17,Basic,5000,2,0,0,0,0,0,0,1,0,0,0,2
21-Jul-17,Basic,5000,1,0,0,0,0,0,0,2,0,0,0,2
21-Jul-17,Advanced,20000,2,1,0,0,0,0,0,1,0,0,0,1
23-Jul-17,Jumbo Supply,10000,0,0,0,0,0,0,0,5,0,0,0,20
23-Jul-17,Reserves,100000,0,0,0,0,2,0,0,0,1,0,1,1
24-Jul-17,Jumbo Supply,10000,0,0,0,0,0,0,0,5,0,0,0,20
24-Jul-17,Jumbo Supply,10000,0,0,0,0,0,0,0,5,0,0,0,20
24-Jul-17,Reserves,100000,0,1,0,0,2,0,0,0,1,0,0,1
25-Jul-17,Reserves,100000,0,1,0,1,1,0,0,0,1,0,0,1
26-Jul-17,Basic,5000,1,0,0,0,0,0,0,1,0,0,0,3
26-Jul-17,Basic,5000,0,1,0,0,0,0,0,0,2,0,0,2
26-Jul-17,Basic,5000,0,1,0,0,0,0,0,0,1,0,0,3
26-Jul-17,Basic,5000,2,0,0,0,0,0,0,1,0,0,0,2
26-Jul-17,Basic,5000,2,0,0,0,0,0,0,0,1,0,0,2
27-Jul-17,Jumbo Supply,10000,0,0,0,0,0,0,0,5,0,0,0,20
27-Jul-17,Jumbo Supply,10000,0,0,0,0,0,0,0,5,0,0,0,20
27-Jul-17,Reserves,100000,1,0,0,0,2,0,0,0,1,0,0,1
28-Jul-17,Jumbo Supply,10000,0,0,0,0,0,0,0,5,0,0,0,20
28-Jul-17,Arsenal,100000,1,0,0,2,0,0,0,0,1,0,0,1
28-Jul-17,Arsenal,100000,1,0,0,1,0,1,0,0,1,0,0,1
