# Berger-Sehgal coherent pion production by neutrinos
# Data digitized from: PRD 79, 05003 (2009)
# Data digitized using: http://arohatgi.info/WebPlotDigitizer/
# NC production with the "BS hadronic model" - plot on page 4,
# Figure 3a (solid line)
# energy (GeV), cross secion (per cm^2)
0.4218, 6.925e-41
0.4966, 1.108e-40
0.5841, 1.607e-40
0.6700, 2.078e-40
0.7767, 2.632e-40
0.9008, 3.269e-40
1.014, 3.823e-40
1.109, 4.294e-40
1.268, 5.014e-40
1.393, 5.568e-40
1.477, 5.900e-40
1.563, 6.260e-40
1.655, 6.620e-40
1.727, 6.870e-40
1.837, 7.285e-40
1.940, 7.618e-40
1.988, 7.784e-40
